Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests,nbAttempt
org/bukkit/util/permissions/DefaultPermissions,true,71,976,true,0,NA,1
org/bukkit/util/permissions/CommandPermissions,true,266,2544,true,0,NA,1
org/bukkit/util/permissions/BroadcastPermissions,true,23,220,true,0,NA,1
org/bukkit/util/Vector,true,380,5819,true,7,true,2
org/bukkit/util/NumberConversions,true,9,794,true,0,true,1
org/bukkit/util/Java15Compat,true,12,347,true,17,true,1
org/bukkit/util/CachedServerIcon,true,0,0,true,0,NA,1
org/bukkit/util/io/BukkitObjectInputStream,true,5,297,true,0,true,1
org/bukkit/util/io/Wrapper,true,2,235,true,0,true,2
org/bukkit/util/io/BukkitObjectOutputStream,true,2,199,true,0,true,1
org/bukkit/util/BlockVector,true,6,1040,true,0,NA,2
org/bukkit/util/noise/PerlinOctaveGenerator,true,10,264,true,0,NA,1
