,Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests,Compilo,Match
9478,Bukkit/eclipse/org/bukkit/event/player/PlayerInteractEntityEvent,True,16.0,200.0,True,0.0,,JADX-0.9.0,108.0
9479,Bukkit/eclipse/org/bukkit/event/player/PlayerUnregisterChannelEvent,True,2.0,32.0,True,0.0,,JADX-0.9.0,153.0
9480,Bukkit/eclipse/org/bukkit/event/player/PlayerFishEvent,True,79.0,565.0,False,,,JADX-0.9.0,110.0
9481,Bukkit/eclipse/org/bukkit/event/player/PlayerTeleportEvent,True,65.0,363.0,False,,,JADX-0.9.0,135.0
9482,Bukkit/eclipse/org/bukkit/event/player/PlayerToggleSneakEvent,True,19.0,202.0,True,0.0,,JADX-0.9.0,130.0
9483,Bukkit/eclipse/org/bukkit/event/player/PlayerPreLoginEvent,True,83.0,762.0,False,,,JADX-0.9.0,138.0
9484,Bukkit/eclipse/org/bukkit/event/player/PlayerUnleashEntityEvent,True,7.0,148.0,True,0.0,,JADX-0.9.0,141.0
9485,Bukkit/eclipse/org/bukkit/event/player/PlayerLevelChangeEvent,True,18.0,191.0,True,0.0,,JADX-0.9.0,145.0
9486,Bukkit/eclipse/org/bukkit/event/player/PlayerItemBreakEvent,True,14.0,133.0,True,0.0,,JADX-0.9.0,113.0
9487,Bukkit/eclipse/org/bukkit/event/player/PlayerBucketFillEvent,True,6.0,115.0,True,0.0,,JADX-0.9.0,151.0
9488,Bukkit/eclipse/org/bukkit/event/player/PlayerItemHeldEvent,True,22.0,258.0,True,0.0,,JADX-0.9.0,122.0
9489,Bukkit/eclipse/org/bukkit/event/player/PlayerLoginEvent,True,102.0,882.0,False,,,JADX-0.9.0,123.0
9490,Bukkit/eclipse/org/bukkit/event/player/PlayerRespawnEvent,True,5.0,274.0,True,0.0,,JADX-0.9.0,133.0
9491,Bukkit/eclipse/org/bukkit/event/player/PlayerQuitEvent,True,15.0,169.0,True,0.0,,JADX-0.9.0,118.0
9492,Bukkit/eclipse/org/bukkit/event/player/PlayerInteractEvent,True,74.0,926.0,True,34.0,True,JADX-0.9.0,115.0
9493,Bukkit/eclipse/org/bukkit/event/player/PlayerBedLeaveEvent,True,14.0,133.0,True,0.0,,JADX-0.9.0,127.0
9494,Bukkit/eclipse/org/bukkit/event/player/PlayerPortalEvent,True,13.0,345.0,True,0.0,,JADX-0.9.0,139.0
9495,Bukkit/eclipse/org/bukkit/event/player/PlayerStatisticIncrementEvent,True,32.0,718.0,True,0.0,,JADX-0.9.0,129.0
9496,Bukkit/eclipse/org/bukkit/event/player/PlayerEggThrowEvent,True,38.0,605.0,True,12.0,,JADX-0.9.0,147.0
9497,Bukkit/eclipse/org/bukkit/event/player/PlayerChatTabCompleteEvent,True,23.0,409.0,True,0.0,True,JADX-0.9.0,143.0
9498,Bukkit/eclipse/org/bukkit/event/player/PlayerGameModeChangeEvent,True,17.0,197.0,True,0.0,,JADX-0.9.0,111.0
9499,Bukkit/eclipse/org/bukkit/event/player/PlayerMoveEvent,True,22.0,318.0,True,0.0,True,JADX-0.9.0,120.0
9500,Bukkit/eclipse/org/bukkit/event/player/PlayerBucketEmptyEvent,True,6.0,115.0,True,0.0,,JADX-0.9.0,136.0
9501,Bukkit/eclipse/org/bukkit/event/player/PlayerEditBookEvent,True,40.0,662.0,True,4.0,,JADX-0.9.0,114.0
