Class,CFR-0.141,Dava-3.3.0,Fernflower,JADX-0.9.0,JD-Core-1.0.0,JD-GUI-1.4.1,Jode-1.1.2-pre1,Krakatau,Procyon-0.5.34
Bukkit/eclipse/org/bukkit/entity/Explosive,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/FallingBlock,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/FallingSand,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/Fireball,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/Firework,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/Fish,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/FishHook,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/Flying,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/Ghast,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/Giant,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/Golem,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/Hanging,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/Horse,True,False,False,False,True,False,False,False,True
Bukkit/eclipse/org/bukkit/entity/HumanEntity,True,False,True,True,True,True,True,False,True
Bukkit/eclipse/org/bukkit/entity/IronGolem,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/Item,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/ItemFrame,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/LargeFireball,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/LeashHitch,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/LightningStrike,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/LivingEntity,True,False,False,True,True,True,False,False,True
Bukkit/eclipse/org/bukkit/entity/MagmaCube,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/Minecart,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/Monster,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/MushroomCow,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/NPC,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/Ocelot,False,False,True,False,False,False,False,False,True
Bukkit/eclipse/org/bukkit/entity/Painting,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/Pig,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/PigZombie,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/Player,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/PoweredMinecart,True,True,True,True,False,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/Projectile,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/Sheep,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/Silverfish,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/Skeleton,False,False,False,False,False,False,False,False,True
Bukkit/eclipse/org/bukkit/entity/Slime,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/SmallFireball,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/Snowball,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/Snowman,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/Spider,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/Squid,True,True,True,True,True,True,True,True,True
